"","logFC","AveExpr","t","P.Value","adj.P.Val"
"SYN2",-5.31177438428338,0.41551710840847,-34.3831476790326,4.5396090642671e-184,8.35855518958179e-182
"HSPB7",-5.23077371146962,1.74304017205495,-34.2980767492076,2.07051076905957e-183,3.76949280798564e-181
"ANGPTL1",-4.39585277202753,1.37952572549169,-33.6585233197896,1.8558605409931e-178,3.34116759396791e-176
"LCN6",-5.65889583150312,-2.4434123292285,-33.6548216650907,1.98242134665269e-178,3.52979923953994e-176
"MAP1LC3C",-5.21291088878356,-1.69773737022943,-33.6427344142337,2.45894865395105e-178,4.33068967825749e-176
"CRNN",-5.14876047739621,-5.52331770269097,-33.5742662694191,8.33002233972168e-178,1.45130485989796e-175
"PTH1R",-4.15556952486472,0.827507303981002,-33.4253258307841,1.18337111614433e-176,2.03980448881772e-174
"AOX1",-4.59594792518545,3.14738501975597,-33.3748355615553,2.90893015874245e-176,4.96141003811619e-174
"ALDH1L1",-5.41715139527937,0.582436876780145,-33.3006711678597,1.0900044018699e-175,1.83972305453104e-173
"SEC31B",-3.53901417958711,2.67879891318507,-33.1626579855637,1.27289468157276e-174,2.12625902324984e-172
"GOLGA8M",-5.02702390290993,-2.72520879843109,-33.082504657206,5.3031937185715e-174,8.76812732877695e-172
"TMEM100",-4.86754762969455,0.582223478742068,-33.0386013122018,1.15864766413506e-173,1.89632001030104e-171
"SPRY2",-3.60159247189429,3.69080569745116,-32.9620736825657,4.52377028769876e-173,7.32986499715829e-171
"DEFA1",-5.19773813763542,-5.35204884506585,-32.9234115086461,9.00148942006612e-173,1.44407062448843e-170
"PER1",-4.0535424719194,5.36916553073127,-32.8879500252707,1.69186794135534e-172,2.68758198566476e-170
"CAPN3",-3.57574080210934,1.57939697775183,-32.7579547956591,1.70917985744591e-171,2.68872244953361e-169
"PYGM",-3.9419965885254,0.0695107399951248,-32.7440856680009,2.18740756604066e-171,3.40793892236123e-169
"ATP1A2",-5.55964596216178,1.04813057538986,-32.6730179157901,7.74253456691275e-171,1.19478369131131e-168
"DPY19L2",-4.05279014934355,0.861589097007749,-32.6574932456702,1.02044096018104e-170,1.55983064885033e-168
"MAB21L1",-4.44344432381647,0.220041126044651,-32.4277243714946,6.06480241165551e-169,9.18392462393031e-167
"SLC26A10",-4.3661712890011,-0.322693206596574,-32.3556587561482,2.18269601356814e-168,3.27465032480042e-166
"ADH1C",-5.63199051784616,-0.340096278049806,-32.2234389499708,2.28617220688842e-167,3.39842644662505e-165
"SRPX",-4.12693925583446,4.12886905084904,-32.0765529022802,3.10377609622808e-166,4.57186218974397e-164
"COL25A1",-4.57320450207625,-0.80134593812677,-32.0645678691731,3.83968161308656e-166,5.60489740331906e-164
"MICU3",-3.72455333328751,0.832840949138001,-32.054429471715,4.59684263485374e-166,6.65023582254778e-164
"FHL5",-4.14934606443523,0.595715356266978,-31.860123697841,1.4454306183945e-164,2.07259400972089e-162
"DES",-5.45861612023441,0.424907205125911,-31.7430110909919,1.15375635485797e-163,1.63985212436523e-161
"VIP",-4.48620512789221,-2.98750953277755,-31.4134414072365,3.9691895406416e-161,5.59241548930573e-159
"FAM162B",-3.89328722413767,-0.56037578337591,-31.3697173772934,8.60971842980143e-161,1.20261437687994e-158
"ADH1B",-8.0637128918075,3.66982082047074,-31.3665013573985,9.11426076064314e-161,1.26220826585214e-158
"TWIST2",-3.98896578940605,1.97139473703702,-31.3344653222188,1.60721549556874e-160,2.2069248029407e-158
"ACACB",-4.50993834119418,5.01156112140934,-31.2080546092553,1.50605322171149e-159,2.05063700431859e-157
"CCL16",-4.89591743346246,-4.17234922319618,-31.1519816002617,4.06191232699791e-159,5.48459711952892e-157
"VWCE",-3.88139527546306,-0.40255891628034,-31.1003604868465,1.01232392835266e-158,1.35559376951224e-156
"CNTFR",-5.29552201402464,1.28615166634122,-30.740206580743,5.8849696546734e-156,7.81591502579288e-154
"MYL1",-4.77304497565321,-5.80021843104902,-30.6023566279871,6.70828074091992e-155,8.83693275163622e-153
"AMY2B",-3.5901423921701,3.1600369466396,-30.4131654743822,1.88770259573891e-153,2.46664880312562e-151
"KCNIP2",-4.7707062540028,1.45084055201211,-30.4027732876894,2.26727414605205e-153,2.93893143907851e-151
"EDNRB",-3.6797612535045,3.53017804954226,-30.3623995771184,4.61950388384005e-153,5.94046201824289e-151
"CYP1A1",-6.41200618366307,-3.38421836058432,-30.254906807174,3.07055100894343e-152,3.91749118093783e-150
"PNLIP",-5.7346350402567,-5.42386715444657,-30.2157852968667,6.11630740670026e-152,7.74238507115346e-150
"CKM",-5.04225329939772,-2.59909885342525,-30.1482162602084,2.01016937056545e-151,2.52486622568e-149
"RRAD",-4.4213189348658,0.581066058972262,-29.8519015654126,3.69021431189074e-149,4.59942634581275e-147
"CYP3A5",-4.31816408121264,-0.299651378395795,-29.8356314846395,4.91182270536158e-149,6.07528727442547e-147
"PAPPA2",-4.56699878359735,-0.786848616286947,-29.8339603812272,5.05821991138003e-149,6.20896494121898e-147
"MRGPRF",-3.73601684020551,2.46461880549648,-29.6825338606602,7.2321417980534e-148,8.81070628224506e-146
"CIDEC",-6.89563363839605,1.12123131213271,-29.6364549345154,1.62407377957602e-147,1.96379607839331e-145
"PCK1",-6.6175401220795,-0.47510731819805,-29.6119394088518,2.49740795716552e-147,2.99744452814466e-145
"MYO15B",-3.86188076916672,4.69307880268405,-29.5924062494781,3.51861814637967e-147,4.19207131071984e-145
"NAALAD2",-3.51341488581215,0.146441800576217,-29.4685269212938,3.09147476376064e-146,3.65628945965063e-144
"C11orf96",-3.88774254657839,3.55008848335434,-29.3898654916428,1.22765703440399e-145,1.44142948756869e-143
"KLHL29",-3.4983571122197,2.13718054725827,-29.301999020405,5.72420511369138e-145,6.67261118396701e-143
"CABP1",-3.72816042520446,-0.906317201593505,-29.293886179084,6.59830274401259e-145,7.63659281151685e-143
"CCL14",-4.87138562300764,3.17582782862007,-29.2806688954978,8.31712869300266e-145,9.55761958955476e-143
"LDB3",-3.67956817296575,0.65116741035327,-29.24351827438,1.59413001429849e-144,1.81899215645622e-142
"PID1",-3.64984240051863,2.40092918349903,-29.1788070420734,4.94903814050822e-144,5.60764090843739e-142
"CRP",-4.55611979182869,-4.84940871043282,-29.1385098454589,1.00182308839153e-143,1.12725968758388e-141
"CYP3A7",-5.03720463815322,-4.18517227198706,-29.1376188376347,1.01756464562557e-143,1.13707585883249e-141
"TCF21",-4.6084750968117,-4.33103105146517,-29.1337006909316,1.08977394625211e-143,1.2094251541865e-141
"CTRB1",-5.34546210484044,-5.38363976202518,-29.0533921485484,4.44052695084725e-143,4.89454817582163e-141
"LIMS2",-3.35859899791545,4.35440939980383,-28.8025627960724,3.55443776588866e-141,3.89138885950635e-139
"CTRB2",-5.20235937869679,-4.68509739042089,-28.7955944282849,4.0142052930759e-141,4.36524619890664e-139
"ACADL",-5.56317663953926,-1.37293810469002,-28.7436789332475,9.9333955465511e-141,1.07300538693845e-138
"EBF3",-3.51425274305719,2.02701059749352,-28.5761512323676,1.84443212911891e-139,1.97916117802078e-137
"MYH6",-5.25973279239033,-4.41620344751795,-28.5646642688998,2.25320423786564e-139,2.40188607014059e-137
"RDH5",-4.05526256043947,1.24625107650969,-28.5253256127952,4.47171071764476e-139,4.73562933058811e-137
"MEOX2",-4.04674029981366,1.8693271650568,-28.5129707403452,5.5455401348339e-139,5.83470044186452e-137
"RYR3",-4.09434055464924,-0.154777150699776,-28.4948724084804,7.60063563407506e-139,7.94536123734956e-137
"LVRN",-4.96435662256429,-1.04952360763302,-28.4472302648363,1.74241318235849e-138,1.80976415344581e-136
"IL1RL1",-4.73031618064611,-0.199695233484149,-28.2666011923672,4.03618795199068e-137,4.16550021567548e-135
"HOXD4",-4.3052727281601,-0.699701578249032,-28.2611043240073,4.44093830368422e-137,4.55421033763262e-135
"CLEC3B",-3.85811197957003,3.29762933438954,-28.2209205298948,8.92938236004493e-137,9.09954606162314e-135
"TNMD",-5.42352271790143,-1.71983193001465,-28.1988361223338,1.31067304016052e-136,1.32730220435755e-134
"ASPA",-4.05506456706834,0.139435185826229,-28.1636400047257,2.41579944216271e-136,2.43125455660636e-134
"ADH1A",-4.95682681624094,-4.17035577389086,-28.0865742472624,9.21045802394431e-136,9.21216366431912e-134
"TENM1",-4.55718548407252,-0.525370735981888,-28.0591914490271,1.48152856248888e-135,1.47271210417223e-133
"FABP4",-6.93978824467654,4.36830131299174,-28.0586303428057,1.49602727391512e-135,1.47805670239309e-133
"FADS3",-3.21844612561909,4.44983274253725,-28.0484965868879,1.7837003956802e-135,1.75159378855795e-133
"FHL1",-4.40829367632601,5.27101637962007,-28.0231446058898,2.76937813085836e-135,2.7031466177288e-133
"GDF10",-4.91466379711148,-0.477228746546725,-28.0127438876392,3.31706191503271e-135,3.21834456342964e-133
"ARHGEF15",-3.24630107957794,3.99602415098738,-27.9385140861161,1.20195946467874e-134,1.15924697655891e-132
