"","logFC","AveExpr","t","P.Value","adj.P.Val"
"KBTBD11",-3.59448461266291,1.75234408081654,-13.4375861367161,1.76687112965705e-35,1.74679304863822e-33
"PHACTR3",-3.62677425197134,-3.54542284491143,-13.3752378870641,3.25771680708269e-35,3.19991860566671e-33
"FAM229A",-2.62204468612442,1.94943475589465,-13.3208109169226,5.55152028770619e-35,5.41807028079017e-33
"SLFNL1",-3.16970292109336,-1.02905580591105,-13.308195199154,6.28073980369503e-35,6.09071742109916e-33
"ALAS2",-3.95466864134555,-3.22873750517804,-13.0136902278441,1.10313242545128e-33,1.06298678338581e-31
"TDRD15",-4.00506944389947,-2.3209946238904,-13.000739636758,1.2504384776558e-33,1.19735382530249e-31
"SLC25A37",-2.55155042543371,4.34461793108718,-12.9600685839058,1.8528825784505e-33,1.7631335785568e-31
"GSTM2",-2.98898399195484,2.92292968658723,-12.9486186409196,2.06958370492956e-33,1.95710632966165e-31
"EPO",-4.83429695141676,-0.595381080155359,-12.8941882985822,3.49909816120416e-33,3.28850429039095e-31
"CXCR2",-3.44211799107304,-1.99688303780713,-12.8799227461154,4.01472755283853e-33,3.74995257619427e-31
"KIAA0895L",-2.46916102716425,2.82493351515959,-12.8698985216801,4.42168386028839e-33,4.1048863885909e-31
"GPR17",-3.6402098182357,-1.77443304960058,-12.8651501512121,4.62854862560604e-33,4.27088804999103e-31
"HGF",-3.38937338233394,2.35938341873088,-12.8617975856282,4.78038389428485e-33,4.3844183608727e-31
"SLITRK6",-4.00732092579884,-3.93867431571748,-12.8407665143918,5.85274190175133e-33,5.33580811102778e-31
"NAT2",-4.27589134460168,1.71866613870487,-12.7563150563586,1.31709948948296e-32,1.19362141234393e-30
"RXFP1",-3.22054528906343,-1.3448037041423,-12.7191504953657,1.88053847684571e-32,1.68726117391951e-30
"GNAO1",-3.80444033960087,2.19722891175509,-12.7189601181938,1.88396978368681e-32,1.68726117391951e-30
"PNLIPRP2",-3.8397311008007,-4.98216644380938,-12.6381539274931,4.0794031467969e-32,3.63210017017444e-30
"LHX2",-3.38322216995833,-0.500261650441892,-12.6306159584915,4.38371661559279e-32,3.8803538065349e-30
"PCDH9",-3.57616748964731,-0.222655905868979,-12.6157158322513,5.05334007256403e-32,4.44723136443858e-30
"FAM169B",-4.69407115271512,-2.27601221844456,-12.5744273116323,7.48967810805878e-32,6.55346834455143e-30
"ACTC1",-4.00253349776741,-3.43244846306345,-12.5279658623677,1.16527085495417e-31,1.01378564381013e-29
"GBA",2.51312994204964,6.54946256021391,12.5070593343172,1.42131739263286e-31,1.22952030129746e-29
"GOLGA8O",-3.7178527936182,-4.1904144730503,-12.5063658241883,1.43070928367754e-31,1.23065247706161e-29
"LGI1",-4.07608659122706,-3.98270322409402,-12.4969627872252,1.56432020904641e-31,1.33802107768155e-29
"MYO15A",-3.26304673877581,-0.454643113062963,-12.406781182275,3.67669506267854e-31,3.12724482286484e-29
"GABRD",4.09851000168544,0.50881742362765,12.3965305263728,4.05095759357481e-31,3.42643496456536e-29
"BEND4",-3.55641411472262,-3.78245977405006,-12.3812505423003,4.68037909406145e-31,3.93694871309865e-29
"C10orf142",-3.41877388715528,-4.18317526115641,-12.3660253731071,5.4043138150276e-31,4.52091636449424e-29
"KRTDAP",-3.47077741128643,-4.64673058510859,-12.3564609190766,5.9150415796441e-31,4.92112065847439e-29
"NNAT",-3.18183219300305,-2.76677715589331,-12.2695500306529,1.34157120021929e-30,1.11007725670319e-28
"ATP13A4",-3.62090653232033,-3.50149352854319,-12.256469120366,1.5171642061026e-30,1.24858513718444e-28
"LSMEM1",-2.71368095867122,0.403671738323787,-12.2375374634681,1.81256123893742e-30,1.48366907864636e-28
"KCNN2",-3.66218365154297,-0.153052795917457,-12.217109110884,2.19579681325715e-30,1.78775435731766e-28
"MT1G",-5.74836176838704,4.67819894358759,-12.1969168903614,2.65374082865106e-30,2.14910660192619e-28
"SFRP5",-4.95422742621192,-1.23849557566903,-12.190329241161,2.82281557318448e-30,2.2739347672875e-28
"YJEFN3",-2.86891362316441,1.18422523009046,-12.1321979750754,4.86475140998208e-30,3.89820211668301e-28
"PLA2G4B",-2.73149681836059,2.2631852656516,-12.1270221155529,5.10597649719892e-30,4.0700781240761e-28
"RGPD2",-3.30788263832515,2.05580764765407,-12.1263859244377,5.13643668246388e-30,4.07303377554753e-28
"GLP2R",-3.94959726220616,-2.37678912372138,-12.109236819959,6.0292870977562e-30,4.73365820122498e-28
"MFSD2A",-4.62125230460494,3.956679572578,-12.1091935985746,6.03172210862165e-30,4.73365820122498e-28
"NPIPA2",-3.64376935595159,-3.95166994634923,-12.0873845497104,7.39409097766836e-30,5.77307872487184e-28
"TAS2R20",-2.91775216740388,-2.86138955490565,-12.0407197121885,1.14247828624463e-29,8.87460811636451e-28
"HBA2",-3.83269844155351,4.16145017277591,-12.0140710637977,1.4641532876834e-29,1.13156009162334e-27
"ERICH6B",-3.04618997632197,-3.01297176207174,-12.003272108318,1.618863695032e-29,1.24480806852839e-27
"GCGR",-4.99873990139033,3.42980208113271,-11.9750186730211,2.10497011809707e-29,1.61046080643356e-27
"CCDC17",-2.7242567309531,0.25310871361341,-11.9550311042074,2.53415728862948e-29,1.92912723596919e-27
"ADGRA1",-3.80030619982139,-4.38086546201121,-11.8947485204701,4.43051681281481e-29,3.35595116791569e-27
"MYBPC3",-3.17626347983819,-3.2729131829429,-11.7955772436472,1.10705204402539e-28,8.34399374766664e-27
"SLC11A1",-3.08559296911666,1.57551038842687,-11.787516168116,1.19238772747095e-28,8.94290795603214e-27
"MND1",3.77473790372794,0.0620418361533169,11.7338708021811,1.95312718264761e-28,1.45766477234362e-26
"TXK",-2.86464036280962,-1.24236293103939,-11.7308088898412,2.00884728374136e-28,1.49193658024206e-26
"ECM1",-2.8244589954254,2.98572088898148,-11.6723718809009,3.43373658096315e-28,2.53779803131864e-26
"CHST4",-4.61230711550678,-1.80767115687505,-11.6690632487849,3.53940334598179e-28,2.60325680881994e-26
"CA1",-3.99812110734569,-3.46795639011156,-11.6504896902483,4.19551674448588e-28,3.07099723244219e-26
"PPBP",-3.48061225781703,-3.79579713833196,-11.6491995087857,4.24534821902656e-28,3.09260414519997e-26
"HAPLN4",-3.75406189264851,0.742125546854637,-11.6416083730487,4.55070000655303e-28,3.29925750475095e-26
"ELANE",-3.55031257602125,-4.08556366327832,-11.6273544310133,5.18429915543632e-28,3.7408035375127e-26
"RGPD3",-3.03151511611793,-1.75092173437646,-11.5899641762588,7.2947600508215e-28,5.23880763083761e-26
"OXT",-4.41201073293594,-2.36424820674087,-11.5848527661533,7.64305115114683e-28,5.46316684395354e-26
"JMJD7-PLA2G4B",-2.58725327257198,2.65566728815774,-11.4556703411063,2.47490212133949e-27,1.76076564473803e-25
"GOLGA8N",-2.62632344677515,2.74733476398422,-11.454827691553,2.49388376997115e-27,1.76601769292143e-25
"PILRB",-2.74346825115955,4.11618629930229,-11.4220995736259,3.35465246061677e-27,2.36456406078196e-25
"KAZN",-2.89631962345994,1.23284003839524,-11.4094438374363,3.7617276996327e-27,2.63927669248423e-25
