"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ITM2A",-4.47923080459928,3.22519244669424,-32.087210495375,1.08151866454629e-124,2.25565969677423e-122
"ARHGAP6",-4.44375957308092,1.97201661711045,-32.0424045758372,1.74160124413181e-124,3.5863758277894e-122
"HMGA1",6.69644364976125,7.99360150169098,32.0375088657774,1.83469199028651e-124,3.73084616224761e-122
"CPED1",-4.62084288484845,2.83626396716618,-32.0259295444324,2.07517838688182e-124,4.16777802441895e-122
"MPPED1",-6.71224770858178,-3.76512784875711,-32.0131044989381,2.37853823183134e-124,4.71878779944296e-122
"FAM153B",-6.01587534986514,2.29042621526182,-32.0013935110995,2.69416778143104e-124,5.28056885160485e-122
"MAP3K5",-4.09174445815807,4.13124378729791,-31.9979535461985,2.79461127544889e-124,5.41223050345269e-122
"DIO3",-6.17109904004579,-0.716430508633461,-31.9698784131931,3.76776485649996e-124,7.21105866888722e-122
"LCN6",-6.40612439750706,-3.20354919381807,-31.8048132497424,2.1866759334932e-123,4.13637721931015e-121
"MCF2",-6.19310886567748,-2.38988916315121,-31.7578097300825,3.60990023098636e-123,6.75009850088345e-121
"TCEAL6",-7.10872088159533,-3.72127040519974,-31.1126378491975,3.60148333018506e-120,6.6578330472103e-118
"SGCZ",-5.64622548986387,-5.1751770335114,-31.0843648428681,4.87926788425702e-120,8.91864381360598e-118
"FGF22",-5.54767348717016,-2.79142231868091,-31.0359805185369,8.20577237702199e-120,1.48323894477104e-117
"EPCAM",8.83983394903299,6.89987623512336,31.01570242273,1.02040139119976e-119,1.82416371780634e-117
"SUPT20HL1",-5.0123345451288,-5.49136684990187,-30.9392213480172,2.32237410911467e-119,4.10656326163885e-117
"KIAA0895L",-3.94142551872774,4.25876211947079,-30.8659557433846,5.10895367576333e-119,8.93682348358257e-117
"POU6F1",-3.43574459885838,3.1414880515837,-30.8007437037515,1.03110524756804e-118,1.78447023057839e-116
"C11orf96",-5.58987387497459,4.40926477612458,-30.7305592329865,2.19658008367048e-118,3.76146997906857e-116
"PEG3",-7.34577624992726,3.53019285877347,-30.7189862714979,2.48843935095503e-118,4.21686785013921e-116
"PLEKHH2",-4.622610242784,3.30118076088395,-30.6832006213209,3.66016061351808e-118,6.13850441863011e-116
"PNPLA7",-4.51402517748611,2.85220973451492,-30.5608344928693,1.37070800038615e-117,2.27537528064101e-115
"NAV3",-4.49134232080847,1.84907706700334,-30.5416462082364,1.68627706048661e-117,2.77094497171678e-115
"SLC25A27",-4.32918796786088,2.92060688104347,-30.3963151402893,8.10969386427785e-117,1.31928499784072e-114
"GLRA4",-5.16797967742863,-5.15262314000441,-30.306726279976,2.13767631287942e-116,3.44314042157648e-114
"JAKMIP3",-5.29872327987108,-0.752134642429014,-30.2233095152759,5.27475940764538e-116,8.41272412191913e-114
"GOLGA8S",-5.39983188150762,-3.09536347731341,-30.1317137980975,1.42324992130147e-115,2.24790579803227e-113
"C8orf49",-6.98746640949941,-3.18302583224295,-30.0226279279165,4.64684699529265e-115,7.26874104994431e-113
"NRK",-6.09223296220833,1.94966899340149,-29.9731252257087,7.95291697285979e-115,1.23217193632841e-112
"ALDH1L1",-5.73160202688593,1.79526237188054,-29.8431910371262,3.26270994669471e-114,5.0073363597009e-112
"ARHGAP10",-3.67872938049101,3.26641498842551,-29.7292206775074,1.12697478519856e-113,1.71342297248694e-111
"VIPR2",-5.43528249444494,0.451976195957961,-29.6148620870362,3.91422826539342e-113,5.89598753902038e-111
"SCARA5",-6.82293790637303,-1.31290464041991,-29.6138105692545,3.959321185785e-113,5.90919605966518e-111
"PLCXD3",-6.81551696091754,1.17562081798695,-29.5997675656072,4.613821258203e-113,6.82342220258603e-111
"PDE7B",-3.91691256705741,2.03422976980578,-29.4932146014409,1.47385912247977e-112,2.16006668509017e-110
"ILDR1",8.64271608376942,2.55370164009193,29.4087602915061,3.70325216087046e-112,5.37897376366434e-110
"ZMAT1",-4.55543568075117,2.6367677791855,-29.3135466955574,1.04723833341974e-111,1.50765249628958e-109
"MAL2",9.63345564044619,6.92836328984931,29.2857388254726,1.41895986688508e-111,2.02488062407776e-109
"KCTD8",-5.91992370144054,-3.55547293042947,-29.1765566969509,4.68011792497511e-111,6.6205355133474e-109
"C21orf62",-6.48361882961644,-1.88928818640293,-29.1655711883967,5.27754853578739e-111,7.40130686036114e-109
"PLD5",-6.45537558510919,-3.84460579321265,-29.1411547813982,6.89311081792766e-111,9.58436981077327e-109
"KRT1",-6.62266791332036,-4.16626557314599,-29.0435585091811,2.00568370288776e-110,2.76512393886255e-108
"PDK4",-4.7901118256937,4.78129282720242,-29.03054739319,2.31275698908076e-110,3.16167484860217e-108
"GALNT15",-5.13739286826856,1.31062958663437,-29.0025329872364,3.14312226571873e-110,4.26102608489269e-108
"GOLGA6L3",-6.01431031870473,-3.89577102163763,-28.9625246468225,4.87179248740868e-110,6.54994381695574e-108
"FOXP2",-6.04531615365795,-0.791886100861869,-28.9026734942463,9.38714392521167e-110,1.25172178176511e-107
"TRPM3",-5.32544910756182,-1.20604417556524,-28.9009370968816,9.56752333129543e-110,1.26540219149198e-107
"ITPR1",-3.9919048429521,3.93228651547444,-28.8196678731458,2.33245999939472e-109,3.06003703791559e-107
"PROX1",-5.2604875733797,0.122003558343571,-28.7964106629474,3.0103487052021e-109,3.91778821889822e-107
"INHA",-5.36541771655291,1.93370199148604,-28.76847273937,4.09023191011551e-109,5.28094386617136e-107
"PID1",-4.60269838263884,1.65818298324067,-28.6925565873857,9.41161108601853e-109,1.20557550509724e-106
"ANGPT4",-5.76582443211646,-1.55229300148987,-28.5772548109049,3.3402501733042e-108,4.24524920463381e-106
"LRRK2",-4.27489978264597,1.92151169552854,-28.4719389247325,1.06342027163368e-107,1.34106364177804e-105
"MCC",-4.58749802576757,4.38746948031368,-28.3192779231664,5.70799864901957e-107,7.14290169401926e-105
"PTCH2",-4.50854630786716,2.30107551138417,-28.2056128110371,1.99721481333098e-106,2.48020538803576e-104
"HAND2",-5.47063474873844,1.23437200731172,-28.112377615306,5.58421734747407e-106,6.88212483399305e-104
"ADHFE1",-3.99164434893606,2.58684044012489,-28.0612055542618,9.82159376887732e-106,1.20133599573005e-103
"ADH1B",-7.85230050132707,1.17429769641075,-27.8603602262287,9.02770718000685e-105,1.09599060003247e-102
"KIT",-5.02458134098939,1.61325040347893,-27.800710967917,1.74574202960275e-104,2.10368380278353e-102
"MYH11",-5.84658886956108,4.07611635648933,-27.650087695634,9.24179617708161e-104,1.10548191329973e-101
"ADGRD1",-5.07704694533091,1.52669705864943,-27.6285966786442,1.17244049423235e-103,1.39220890220232e-101
"LRRN4CL",-4.30412936747957,1.88688694657235,-27.5051451503231,4.6024742839219e-103,5.42558345295953e-101
"SPRR2F",-7.63228519791875,-1.93237223211329,-27.4853487101026,5.73161996709523e-103,6.70805709530253e-101
"ST14",7.91014263815138,6.65011817848192,27.4473683333386,8.73224324934308e-103,1.01468666557367e-100
"TCEAL1",-3.27683474043244,4.54432819514912,-27.4146694310902,1.25483734697434e-102,1.44777971351621e-100
"NPHP3",-3.29942288023329,4.25249958528074,-27.3666876636008,2.1365342619201e-102,2.44768587133213e-100
"NDNF",-5.34789745360485,0.688457686114156,-27.2757258964169,5.86240864125436e-102,6.66920725705776e-100
"EGFL8",-3.74262085497218,3.10368081735792,-27.1640109224959,2.02691876165937e-101,2.28985516768574e-99
"DIRAS3",-4.45772970825482,2.04030513068363,-27.1612490560358,2.09007107919176e-101,2.34491560802011e-99
"CYP11B1",-5.19869473291479,-5.68515107902202,-27.1459272248129,2.47791434749546e-101,2.76100757568878e-99
"ESRP1",9.14856031665978,5.68416021377671,27.0897834380946,4.62419830489194e-101,5.11744612408041e-99
"ANGPTL1",-5.36052989500153,1.8451934624865,-27.0707163796353,5.71580774423911e-101,6.28275407995148e-99
"CD24",9.27577040567899,8.42342502621394,27.0140890302246,1.07275550436835e-100,1.17124741913183e-98
"PHF21B",-6.39917135407138,-1.97446162263912,-26.9795156113024,1.575753274282e-100,1.70895695106797e-98
"REG1B",-5.60637930601825,-5.38820088972374,-26.9735532916291,1.68379702379074e-100,1.814040396227e-98
"TMEM200B",-4.17095188027168,2.44810180577316,-26.9402054184348,2.44006064814724e-100,2.61150701474074e-98
"ECM2",-4.27483376980157,2.84698407141672,-26.9258520469271,2.86256817494876e-100,3.04367706340304e-98
"CELA3A",-6.36844915505266,-4.97085896352489,-26.9053402629395,3.59649754674614e-100,3.79920922665365e-98
"PRDM5",-3.87762238848512,1.79465440486799,-26.8830786650831,4.6076007804815e-100,4.8358999675402e-98
"DENND2A",-4.04950112195773,2.41066181519365,-26.8533879104252,6.41211057836504e-100,6.68668044159247e-98
"CCDC68",-4.3593594783722,1.2081991273398,-26.8111794672498,1.02585465272851e-99,1.06296837519665e-97
"OXER1",-3.98584969598708,0.151327703604679,-26.7978651256529,1.18980134312287e-99,1.2250435601217e-97
"AMHR2",-6.87596839174551,-0.719134480981161,-26.7377812420143,2.3233295133431e-99,2.37710217126198e-97
"SLC4A3",-4.4759044029876,4.96260866631413,-26.7100318323356,3.16502612169882e-99,3.21804030923727e-97
"TCF23",-4.80298341623895,1.71979124232579,-26.6101491868402,9.63514059377446e-99,9.73568119127471e-97
"DLG2",-4.14411285199348,0.421411381828072,-26.6039495971457,1.03246914905832e-98,1.03680297017783e-96
"CSGALNACT1",-3.68829680885409,2.6130496307482,-26.603160250261,1.04159590192972e-98,1.03955105107931e-96
"FAM189A2",-4.42921825325125,2.42301203375575,-26.5460025986966,1.97023531257169e-98,1.95437732103148e-96
"LMOD1",-4.51452410056698,3.66781862210554,-26.5035773259422,3.16264212766771e-98,3.1181734625999e-96
"CDH4",-5.79432957264029,-0.318508838947006,-26.4611205121242,5.07911693480503e-98,4.97753459610893e-96
"NAALAD2",-4.29966276992806,0.861298703332003,-26.4465663080346,5.97485698968942e-98,5.82029781486631e-96
"CNRIP1",-3.61416098998944,2.81437687547032,-26.3918293055951,1.10071460396967e-97,1.06585864151063e-95
"AGRN",4.13052634436697,8.70448492448706,26.3844445599212,1.19530918427579e-97,1.15060886448512e-95
"GATA4",-7.39044918137107,1.26536368156776,-26.335181773628,2.07193031389133e-97,1.98271543214025e-95
"ASPA",-5.57074412041939,-1.67725058637563,-26.3221181443015,2.39738403719369e-97,2.28073938696298e-95
"LSR",5.09395294180082,7.2573324211844,26.2907054657783,3.40500987374381e-97,3.22050585035258e-95
"DLK1",-9.17591439914791,0.533821640731671,-26.2861705529371,3.58194781252984e-97,3.36827323781708e-95
"PGC",-5.97674395093285,-4.11797384078611,-26.2805063901153,3.8159216400616e-97,3.56766742761622e-95
"AP1M2",9.94575737058328,5.0746013436813,26.2716073828044,4.21478689166826e-97,3.91806589449482e-95
"HAS1",-6.48134252160261,-1.28088573603865,-26.260822017173,4.75452385711871e-97,4.39469284702313e-95
"ZCCHC18",-4.48329854577488,-0.178625369776293,-26.1892595086326,1.05783225462548e-96,9.72249441708888e-95
"CTRB1",-6.09892839912348,-4.82459125312395,-26.1877912980419,1.07533524699368e-96,9.82783921241194e-95
"SPHKAP",-6.59165263967472,-4.51470767673766,-26.1866388214897,1.08927702677017e-96,9.89964171592017e-95
"VWC2",-6.27301484274462,-0.589548429543524,-26.1646546089308,1.39271841149755e-96,1.25870795101345e-94
"RAB9B",-4.27507167568421,0.501844125164404,-26.1231779877557,2.21438429987605e-96,1.99025435305987e-94
"ZIM2",-5.73724100182424,-2.19889410126352,-26.0743806583673,3.82163281928044e-96,3.41595179692605e-94
"IFFO1",-3.69644197300715,2.8022692577742,-26.0596035505244,4.50848225585579e-96,4.00786826985039e-94
"SPRR3",-6.48057268760969,-4.65569031891124,-26.0512797073421,4.94842451793431e-96,4.37505272053018e-94
"KLHL33",-4.88896786566325,-4.54813094299395,-26.030129391642,6.2693423867963e-96,5.51295469991363e-94
"FOXL2",-6.45449211064131,0.984806617623792,-25.8772225181472,3.47095152520233e-95,3.03577631247266e-93
"HSD11B1",-4.67012160938891,1.39339788862631,-25.8509707325101,4.65705320380291e-95,4.05138724703025e-93
"SLC5A8",-5.98725434256824,-5.02931623266417,-25.8330810699301,5.6900885464961e-95,4.92374257842546e-93
"KNDC1",-5.49464470031288,0.798539855871332,-25.7671674253321,1.19060159688461e-94,1.02479930042957e-92
"SEC31B",-3.84187277396695,2.59275038261594,-25.655964601055,4.13980528560743e-94,3.54454486243482e-92
"ELF3",8.19466437753058,6.97346022458536,25.5552050994772,1.28124246278021e-93,1.09126975835123e-91
"TRPC4",-4.64458029232496,-1.45810239020905,-25.4889858990142,2.69290806484398e-93,2.28167856244176e-91
"UCP2",6.78993834107765,7.64840309519523,25.4519378473543,4.08082983696554e-93,3.43973781283707e-91
"PER1",-4.18356859462016,5.64417774009839,-25.4425456245657,4.53440016320933e-93,3.80235164201492e-91
"TSHZ3",-4.21424681089594,3.49094186314749,-25.4147233956636,6.19610441471851e-93,5.16913982659696e-91
"AGAP11",-5.08965780985387,-0.0163214488585503,-25.3563846880429,1.19263044552395e-92,9.8988326978488e-91
"SLC18A2",-6.17161240467269,-2.02031409001217,-25.350741197326,1.27063467183628e-92,1.0492733422047e-90
"ESR2",-4.24263888749477,0.335179266783979,-25.3063690046282,2.09113634721121e-92,1.71811141901172e-90
"PODN",-5.32926449363094,4.3573424226245,-25.27174850617,3.08478558757826e-92,2.52177346425744e-90
"OGN",-5.4072273673214,2.32643266380853,-25.2570000969973,3.64049520934315e-92,2.96117880327972e-90
"SPINT1",6.4849155722005,7.12900594109695,25.2494004502707,3.96487672919878e-92,3.2089858025177e-90
"WIPF3",-4.42101165491732,3.63360765243277,-25.2410378261224,4.35533949224859e-92,3.50755756732178e-90
"TCEAL7",-4.15298021465671,0.779194335324401,-25.2358322159,4.61759049179922e-92,3.70044148377289e-90
"PDE1C",-4.87988786370756,-0.34372718725535,-25.2256436348126,5.17747365071404e-92,4.11827318802338e-90
"GRIA3",-5.1646450831265,-1.3375887418365,-25.2254351732248,5.18961152904348e-92,4.11827318802338e-90
"COL4A3",-5.27464004163448,-0.208021101248125,-25.1433382573231,1.3052919057066e-91,1.03080042339976e-89
"TCF21",-5.45710537161369,2.31736208529069,-25.1415346323643,1.33201664594482e-91,1.0468235167261e-89
"TNXB",-5.10084406734807,4.73355491933248,-25.1143616645131,1.80770246291926e-91,1.41383190705627e-89
"ADAM33",-5.23061344383701,3.07179039638482,-25.0907677689356,2.35661908685137e-91,1.8343291533444e-89
"CCDC39",-4.56636852972935,0.591290594176181,-25.0251219930993,4.92912493656865e-91,3.81842878419518e-89
"SPRR2B",-4.99914275989305,-5.23724553370161,-25.0159313517511,5.46569487786753e-91,4.21402484706867e-89
"PRDM8",-4.2359799989013,0.174713049736778,-25.0099676820493,5.84474265916773e-91,4.48501290468588e-89
"OVOL2",8.84206346299315,2.47037368195772,24.9752038607184,8.64028830824285e-91,6.59907090133778e-89
"TCEAL4",-3.18081593434516,6.59889765358683,-24.9648921661575,9.70260329605845e-91,7.37579207571397e-89
"IGSF10",-4.91966411928118,3.55925712639113,-24.9616616721217,1.00615696787035e-90,7.61309839689061e-89
"TBC1D4",-3.47977380761059,4.32901008416894,-24.9402932134365,1.27947801658995e-90,9.63636498790983e-89
"MYOCD",-5.74882872383841,-0.364411186308868,-24.9308636989918,1.42262705274429e-90,1.06651137760572e-88
"TUBA1C",3.5943930835966,8.26276155370494,24.9222398766083,1.5675286073383e-90,1.16975024698071e-88
"BCAM",4.49130705731497,10.2001842909252,24.8769494965585,2.60896195312323e-90,1.93801794764423e-88
"IRS4",-6.08831593533341,-3.03375952798993,-24.8547802585576,3.34798513473889e-90,2.47568282599692e-88
"CLSTN2",-5.44247360361135,4.25542868791873,-24.8227583864386,4.80014995093193e-90,3.53343164713849e-88
"GREB1L",-4.76554012793393,0.380582944431093,-24.8140100998198,5.29670490426876e-90,3.88138717939838e-88
"CUBN",-3.89762433462792,1.20405808281383,-24.7208559507233,1.51119411560218e-89,1.10242627231463e-87
"PCDH11X",-6.65679941394427,-2.98240715905537,-24.5760646909813,7.71511409243594e-89,5.6031016096316e-87
"F10",-4.58282245600887,1.13389360119533,-24.5048873677096,1.72001511386481e-88,1.24360914988234e-86
"SNCAIP",-4.2509830752594,2.16109758530773,-24.4939051022249,1.94654203662814e-88,1.40116574565782e-86
"CNTNAP1",-3.42123919407038,3.25327367559029,-24.4820460206111,2.22478216439581e-88,1.59439454847538e-86
"TSPAN5",-3.74228285014962,3.35482842338239,-24.4378618236735,3.66008536611171e-88,2.61150301473269e-86
"PTH1R",-4.54361324849173,0.675749529628077,-24.4082255536623,5.11124427218557e-88,3.63099221921026e-86
"DSP",5.24970825651457,7.6381216113687,24.3825261396889,6.82821682405413e-88,4.82962744755272e-86
"LEFTY2",-5.97452102826241,0.18490233764948,-24.3745910168008,7.46700330003215e-88,5.25858050584082e-86
"RTL1",-5.66596850804882,-3.83615206203463,-24.3487281956344,9.99403408657719e-88,7.00788562588093e-86
"FLG2",-5.19264028263024,-4.53143285233033,-24.3192161077089,1.3938334476212e-87,9.73170923858444e-86
"CAPN3",-3.67335898797309,1.68515390070879,-24.3165756696463,1.43594314505408e-87,9.98287311270934e-86
"KRT7",9.22295101068754,7.37225484291377,24.3109174054492,1.53051593226827e-87,1.0595077951549e-85
"ZBTB16",-5.40100666498985,0.904285782326891,-24.2545731670898,2.88870953534334e-87,1.9912511322443e-85
"KLF15",-3.97934963972111,3.11641673094378,-24.2305278890241,3.78831679478187e-87,2.60035179820723e-85
"FAM83H",7.52684244555207,6.36407828812318,24.2166227140928,4.43138688971958e-87,3.02898327403185e-85
"RBM20",-4.48790012471803,0.242031356654791,-24.211928120283,4.67228856451014e-87,3.18028411579292e-85
"NEIL3",6.38860502399828,0.840526252820959,24.1913111045187,5.8951861591972e-87,3.99595368490917e-85
"KCNT2",-4.62714953395289,1.08063430829074,-24.1144787178221,1.40224491957161e-86,9.46544412929088e-85
"H1FNT",-4.66691553365785,-4.5191845805473,-24.1130912752486,1.42436196932704e-86,9.57500847810424e-85
"SYNPO2",-4.25215549914094,4.07178856991507,-24.0829241199488,2.00171932167969e-86,1.34008106687593e-84
"ANG",-3.47498494418278,2.47001614174982,-24.0669028404504,2.3982438912921e-86,1.59896031244016e-84
"RASL11B",-4.46528556776985,2.51744282564125,-24.0514468976891,2.85507292623438e-86,1.89576842301963e-84
"WFDC2",8.97447749029869,8.5049752012668,23.9808657729881,6.33080322605567e-86,4.18656532038511e-84
"ASPG",-4.91005739646001,1.19635797500809,-23.9548815345972,8.48781620106806e-86,5.59027505906782e-84
"MARVELD2",5.815829982147,3.18335334019032,23.9249575586525,1.18973647075843e-85,7.80428746221698e-84
"TRPC1",-3.53421677057477,2.62355273355713,-23.9044102416662,1.5002303886329e-85,9.80150520573496e-84
"CDC25C",6.88004881248997,1.86246352836362,23.9019590040841,1.54231256692862e-85,1.00361363355179e-83
"SCML1",-3.52947347628893,3.56960588440129,-23.7942047539997,5.20461827437604e-85,3.36949523565384e-83
"LHX9",-5.11959688857125,-0.374875115137341,-23.793951354025,5.2195279037667e-85,3.36949523565384e-83
"GNB3",-4.26533568312251,0.737685698927966,-23.7547880201817,8.12167782228886e-85,5.22227094122511e-83
